index,devicecategory,source,country,session_bin,device_source_combo,pageviews,timeonsite,is_bounce,pageviews_per_minute,high_value_region,user_id,session_id,p_conversion,converted,top_10pct_flag
2017,desktop,(direct),United States,>20m,desktop_(direct),26.0,1423.0,0,1.096275428126124,1,,,0.79441375,1,1
7958,desktop,(direct),United States,>20m,desktop_(direct),48.0,2305.0,0,1.2494576681269156,1,,,0.73118204,1,1
5612,desktop,facebook.com,United States,5–20m,desktop_facebook.com,23.0,761.0,0,1.8134032735818708,1,,,0.654148,0,1
5625,desktop,google,United States,5–20m,desktop_google,24.0,1171.0,0,1.2297181265729398,1,,,0.652936,1,1
7937,desktop,(direct),United States,5–20m,desktop_(direct),21.0,664.0,0,1.8975901899767904,1,,,0.64349186,0,1
4767,desktop,(direct),United States,5–20m,desktop_(direct),13.0,660.0,0,1.1818180743801752,1,,,0.6310876,1,1
5641,desktop,(direct),United States,>20m,desktop_(direct),40.0,1325.0,0,1.811320672694913,1,,,0.6264102,0,1
5541,desktop,(direct),United States,5–20m,desktop_(direct),14.0,481.0,0,1.7463615285203915,1,,,0.60166323,1,1
7944,desktop,google,United States,>20m,desktop_google,30.0,1304.0,0,1.3803680346456424,1,,,0.6003624,0,1
2011,desktop,(direct),United States,5–20m,desktop_(direct),24.0,798.0,0,1.8045111425179592,1,,,0.56105214,0,1
4762,desktop,(direct),United States,5–20m,desktop_(direct),14.0,320.0,0,2.6249995078125923,1,,,0.5133741,1,1
1970,desktop,(direct),United States,5–20m,desktop_(direct),14.0,321.0,0,2.616821940780946,1,,,0.5133741,0,1
2001,desktop,(direct),United States,1–5m,desktop_(direct),17.0,255.0,0,3.9999990588237506,1,,,0.48687404,0,1
1990,desktop,(direct),United States,5–20m,desktop_(direct),20.0,950.0,0,1.2631578149584537,1,,,0.46368003,0,1
7952,desktop,google,United States,5–20m,desktop_google,40.0,818.0,0,2.933985114866618,1,,,0.36718974,1,1
5609,tablet,google,United States,5–20m,tablet_google,19.0,1102.0,0,1.0344827022967675,1,,,0.35883346,1,1
1995,desktop,(direct),United States,>20m,desktop_(direct),22.0,1824.0,0,0.723684186720915,1,,,0.34778893,1,1
58,desktop,(direct),United States,5–20m,desktop_(direct),21.0,308.0,0,4.090908293978903,1,,,0.32240075,1,1
7827,desktop,google,United States,>20m,desktop_google,15.0,2510.0,0,0.3585657284805005,1,,,0.2749602,0,1
7956,desktop,google,United States,>20m,desktop_google,56.0,4778.0,0,0.7032230970712879,1,,,0.23389396,0,1
1983,desktop,(direct),United States,>20m,desktop_(direct),18.0,1226.0,0,0.8809134968557831,1,,,0.21296135,0,1
1940,desktop,(direct),United States,1–5m,desktop_(direct),13.0,222.0,0,3.513512563915523,1,,,0.20199096,1,1
7925,desktop,(direct),United States,>20m,desktop_(direct),18.0,1458.0,0,0.7407407102575839,1,,,0.15296282,0,1
7773,mobile,google,United States,5–20m,mobile_google,13.0,767.0,0,1.0169490729896424,1,,,0.1520029,0,1
5617,desktop,google,United States,1–5m,desktop_google,14.0,246.0,0,3.41463331350407,1,,,0.14497545,0,1
39,desktop,google,United States,5–20m,desktop_google,24.0,542.0,0,2.656826274152073,1,,,0.1381392,0,1
4796,desktop,(direct),United States,5–20m,desktop_(direct),13.0,356.0,0,2.1910108666835617,1,,,0.1370948,0,1
2015,desktop,youtube.com,United States,5–20m,desktop_youtube.com,22.0,541.0,0,2.439925792244829,1,,,0.13614991,0,1
5631,desktop,google,United States,5–20m,desktop_google,24.0,585.0,0,2.461538209073004,1,,,0.12585823,0,1
5589,desktop,google,United States,5–20m,desktop_google,16.0,1103.0,0,0.8703535337976318,1,,,0.124213316,0,1
1937,mobile,google,United States,>20m,mobile_google,13.0,1307.0,0,0.5967865066509637,1,,,0.10870848,0,1
1964,desktop,(direct),United States,>20m,desktop_(direct),16.0,1257.0,0,0.7637231139034313,1,,,0.10832991,1,1
4815,desktop,youtube.com,United States,5–20m,desktop_youtube.com,15.0,333.0,0,2.7027022157293303,1,,,0.10548063,0,1
5586,desktop,google,United States,5–20m,desktop_google,15.0,770.0,0,1.1688310777534223,1,,,0.10135726,0,1
7895,desktop,(direct),United States,5–20m,desktop_(direct),16.0,442.0,0,2.171945406523248,1,,,0.09522834,0,1
9,mobile,google,United States,5–20m,mobile_google,16.0,594.0,0,1.6161614529129846,1,,,0.09233218,1,1
4779,desktop,(direct),United States,5–20m,desktop_(direct),12.0,1156.0,0,0.622837337915017,1,,,0.07579641,0,1
5598,desktop,google,United States,1–5m,desktop_google,17.0,247.0,0,4.129553652740004,1,,,0.074608594,0,1
7784,desktop,google,United States,5–20m,desktop_google,12.0,731.0,0,0.9849520395388204,1,,,0.072921336,0,1
1958,desktop,(direct),United States,5–20m,desktop_(direct),14.0,365.0,0,2.301369484706386,1,,,0.07281424,0,1
1,tablet,(direct),United States,>20m,tablet_(direct),15.0,1448.0,0,0.6215469355712595,1,,,0.054656938,0,1
5591,mobile,google,United States,>20m,mobile_google,17.0,1233.0,0,0.8272505680170039,1,,,0.05069519,0,1
56,desktop,google,United States,5–20m,desktop_google,18.0,400.0,0,2.6999995950000604,1,,,0.047132596,0,1
1938,desktop,(direct),United States,5–20m,desktop_(direct),13.0,414.0,0,1.8840576979626524,1,,,0.045647528,0,1
70,mobile,(direct),United States,>20m,mobile_(direct),58.0,1554.0,0,2.239382152919608,1,,,0.03639749,0,1
7924,mobile,google,United States,5–20m,mobile_google,27.0,405.0,0,3.999999407407495,1,,,0.031784542,0,1
1913,desktop,google,United States,5–20m,desktop_google,13.0,442.0,0,1.764705642800139,1,,,0.031035807,0,1
7875,desktop,(direct),United States,1–5m,desktop_(direct),14.0,164.0,0,5.121949345628288,1,,,0.028804444,0,1
7871,desktop,(direct),United States,1–5m,desktop_(direct),15.0,186.0,0,4.838708116545768,1,,,0.026727237,1,1
4771,mobile,(direct),United States,5–20m,mobile_(direct),12.0,1159.0,0,0.621225161972813,1,,,0.025455328,0,1
7918,desktop,google,United States,5–20m,desktop_google,19.0,419.0,0,2.720763333542243,1,,,0.025333583,0,1
7874,desktop,google,United States,1–5m,desktop_google,13.0,274.0,0,2.84671470509897,1,,,0.022122154,0,1
4775,desktop,(direct),United States,5–20m,desktop_(direct),12.0,419.0,0,1.7183768422372063,1,,,0.02196664,0,1
7868,desktop,google,United States,5–20m,desktop_google,14.0,440.0,0,1.909090648760366,1,,,0.021725265,0,1
5574,mobile,google,United States,1–5m,mobile_google,12.0,222.0,0,3.243242366691252,1,,,0.021274928,0,1
5585,desktop,google,United States,5–20m,desktop_google,14.0,405.0,0,2.0740737668038864,1,,,0.020415558,0,1
64,desktop,(direct),Other,5–20m,desktop_(direct),26.0,1028.0,0,1.5175096390558576,0,,,0.014822921,0,1
2005,desktop,(direct),France,5–20m,desktop_(direct),17.0,308.0,0,3.3116876665543504,0,,,0.013694198,0,1
7794,mobile,google,United States,5–20m,mobile_google,12.0,317.0,0,2.2712929454966035,1,,,0.012753753,1,1
7767,mobile,(direct),United States,5–20m,mobile_(direct),13.0,428.0,0,1.8224296510612636,1,,,0.012437172,0,1
2014,mobile,(direct),United States,5–20m,mobile_(direct),20.0,458.0,0,2.6200869930017037,1,,,0.012237051,0,1
2019,mobile,(direct),United States,5–20m,mobile_(direct),20.0,456.0,0,2.631578601108079,1,,,0.011532373,0,1
5535,desktop,(direct),Other,1–5m,desktop_(direct),13.0,286.0,0,2.7272721551177295,0,,,0.011395873,0,1
5619,mobile,google,United States,5–20m,mobile_google,15.0,387.0,0,2.325581034793638,1,,,0.011201863,0,1
7963,desktop,google,Canada,>20m,desktop_google,59.0,1421.0,0,2.491203272714851,1,,,0.011071476,0,1
7941,desktop,google,Germany,5–20m,desktop_google,33.0,565.0,0,3.504424406609798,0,,,0.010696437,0,1
